Alias	ERCC Pearson R
MJS_2_L_15_S70_L001_	0.953075
MJS_3_F_04_S71_L001_	0.955550
MJS_3_F_06_S72_L001_	0.952785
MJS_3_F_12_S73_L001_	0.962284
MJS_3_F_13_S74_L001_	0.961470
MJS_3_F_14_S75_L001_	0.960280
MJS_3_F_16_S76_L001_	0.952234
MJS_3_L_01_S77_L001_	0.956321
MJS_3_L_02_S78_L001_	0.955830
MJS_3_L_03_S79_L001_	0.953672
MJS_3_L_07_S80_L001_	0.943777
MJS_3_L_09_S81_L001_	0.945788
MJS_3_L_10_S82_L001_	0.948883
MJS_3_L_11_S83_L001_	0.958199
MJS_3_L_15_S84_L001_	0.965066
NM_1_F_04_S4_L004_	0.940405
NM_1_F_05_S5_L004_	0.915114
NM_1_F_06_S6_L004_	0.934044
NM_1_F_12_S11_L004_	0.942329
NM_1_F_13_S12_L004_	0.916179
NM_1_F_14_S13_L004_	0.925727
NM_1_L_01_S1_L004_	0.939347
NM_1_L_02_S2_L004_	0.953301
NM_1_L_03_S3_L004_	0.949908
NM_1_L_07_S7_L004_	0.949590
NM_1_L_09_S8_L004_	0.957663
NM_1_L_10_S9_L004_	0.922891
NM_1_L_11_S10_L004_	0.935999
NM_1_L_15_S14_L004_	0.928417
NM_2_F_04_S18_L004_	0.939247
NM_2_F_05_S19_L004_	0.942297
NM_2_F_06_S20_L004_	0.955749
NM_2_F_12_S25_L004_	0.957061
NM_2_F_13_S26_L004_	0.930529
NM_2_F_14_S27_L004_	0.897999
NM_2_L_01_S15_L004_	0.951801
NM_2_L_02_S16_L004_	0.953904
NM_2_L_03_S17_L004_	0.959840
NM_2_L_07_S21_L004_	0.943608
NM_2_L_09_S22_L004_	0.934961
NM_2_L_10_S23_L004_	0.927473
NM_2_L_11_S24_L004_	0.941383
NM_2_L_15_S28_L004_	0.943569
NM_3_F_04_S32_L004_	0.940348
NM_3_F_05_S33_L004_	0.945576
NM_3_F_06_S34_L004_	0.941279
NM_3_F_12_S39_L004_	0.944804
NM_3_F_13_S40_L004_	0.954503
NM_3_F_14_S41_L004_	0.942068
NM_3_L_01_S29_L004_	0.949604
NM_3_L_02_S30_L004_	0.957825
NM_3_L_03_S31_L004_	0.959634
NM_3_L_07_S35_L004_	0.948468
NM_3_L_09_S36_L004_	0.965278
NM_3_L_10_S37_L004_	0.969149
NM_3_L_11_S38_L004_	0.964250
NM_3_L_15_S42_L004_	0.955835
